;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
0;1988-5;C reactive protein [Mass/volume] in Serum or Plasma;C reactive protein;Ser/Plas;MCnc;C reactive protein [Mass/volume] in Serum or PlasmaC reactive proteinSer/Plasproperty;C reactive protein Massvolume in Serum or PlasmaC reactive proteinSerPlasproperty;['c', 'reactive', 'protein', 'massvolume', 'in', 'serum', 'or', 'plasmac', 'reactive', 'proteinserplasproperty'];['c', 'reactive', 'protein', 'massvolume', 'serum', 'plasmac', 'reactive', 'proteinserplasproperty'];[('c', 'NNS'), ('reactive', 'VBP'), ('protein', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmac', 'VB'), ('reactive', 'JJ'), ('proteinserplasproperty', 'NN')];c reactive protein massvolume serum plasmac reactive proteinserplasproperty;glucose in blood;0
1;1959-6;Bicarbonate [Moles/volume] in Blood;Bicarbonate;Bld;SCnc;Bicarbonate [Moles/volume] in BloodBicarbonateBldproperty;Bicarbonate Molesvolume in BloodBicarbonateBldproperty;['bicarbonate', 'molesvolume', 'in', 'bloodbicarbonatebldproperty'];['bicarbonate', 'molesvolume', 'bloodbicarbonatebldproperty'];[('bicarbonate', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodbicarbonatebldproperty', 'NN')];bicarbonate molesvolume bloodbicarbonatebldproperty;glucose in blood;0
2;10331-7;Rh [Type] in Blood;Rh;Bld;Type;Rh [Type] in BloodRhBldproperty;Rh Type in BloodRhBldproperty;['rh', 'type', 'in', 'bloodrhbldproperty'];['rh', 'type', 'bloodrhbldproperty'];[('rh', 'NN'), ('type', 'NN'), ('in', 'IN'), ('bloodrhbldproperty', 'NN')];rh type bloodrhbldproperty;glucose in blood;1
3;18998-5;Trimethoprim+Sulfamethoxazole [Susceptibility];Trimethoprim+Sulfamethoxazole;Isolate;Susc;Trimethoprim+Sulfamethoxazole [Susceptibility]Trimethoprim+SulfamethoxazoleIsolateproperty;TrimethoprimSulfamethoxazole SusceptibilityTrimethoprimSulfamethoxazoleIsolateproperty;['trimethoprimsulfamethoxazole', 'susceptibilitytrimethoprimsulfamethoxazoleisolateproperty'];['trimethoprimsulfamethoxazole', 'susceptibilitytrimethoprimsulfamethoxazoleisolateproperty'];[('trimethoprimsulfamethoxazole', 'JJ'), ('susceptibilitytrimethoprimsulfamethoxazoleisolateproperty', 'NN')];trimethoprimsulfamethoxazole susceptibilitytrimethoprimsulfamethoxazoleisolateproperty;glucose in blood;0
4;1975-2;Bilirubin.total [Mass/volume] in Serum or Plasma;Bilirubin;Ser/Plas;MCnc;Bilirubin.total [Mass/volume] in Serum or PlasmaBilirubinSer/Plasproperty;Bilirubintotal Massvolume in Serum or PlasmaBilirubinSerPlasproperty;['bilirubintotal', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinserplasproperty'];['bilirubintotal', 'massvolume', 'serum', 'plasmabilirubinserplasproperty'];[('bilirubintotal', 'JJ'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinserplasproperty', 'NN')];bilirubintotal massvolume serum plasmabilirubinserplasproperty;glucose in blood;0
5;890-4;Blood group antibody screen [Presence] in Serum or Plasma;Blood group antibody screen;Ser/Plas;ACnc;Blood group antibody screen [Presence] in Serum or PlasmaBlood group antibody screenSer/Plasproperty;Blood group antibody screen Presence in Serum or PlasmaBlood group antibody screenSerPlasproperty;['blood', 'group', 'antibody', 'screen', 'presence', 'in', 'serum', 'or', 'plasmablood', 'group', 'antibody', 'screenserplasproperty'];['blood', 'group', 'antibody', 'screen', 'presence', 'serum', 'plasmablood', 'group', 'antibody', 'screenserplasproperty'];[('blood', 'NN'), ('group', 'NN'), ('antibody', 'NN'), ('screen', 'JJ'), ('presence', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmablood', 'NN'), ('group', 'NN'), ('antibody', 'NN'), ('screenserplasproperty', 'NN')];blood group antibody screen presence serum plasmablood group antibody screenserplasproperty;glucose in blood;1
6;20565-8;Carbon dioxide, total [Moles/volume] in Blood;Carbon dioxide;Bld;SCnc;Carbon dioxide, total [Moles/volume] in BloodCarbon dioxideBldproperty;Carbon dioxide total Molesvolume in BloodCarbon dioxideBldproperty;['carbon', 'dioxide', 'total', 'molesvolume', 'in', 'bloodcarbon', 'dioxidebldproperty'];['carbon', 'dioxide', 'total', 'molesvolume', 'bloodcarbon', 'dioxidebldproperty'];[('carbon', 'NN'), ('dioxide', 'NN'), ('total', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodcarbon', 'NN'), ('dioxidebldproperty', 'NN')];carbon dioxide total molesvolume bloodcarbon dioxidebldproperty;glucose in blood;1
7;18906-8;Ciprofloxacin [Susceptibility];Ciprofloxacin;Isolate;Susc;Ciprofloxacin [Susceptibility]CiprofloxacinIsolateproperty;Ciprofloxacin SusceptibilityCiprofloxacinIsolateproperty;['ciprofloxacin', 'susceptibilityciprofloxacinisolateproperty'];['ciprofloxacin', 'susceptibilityciprofloxacinisolateproperty'];[('ciprofloxacin', 'NN'), ('susceptibilityciprofloxacinisolateproperty', 'NN')];ciprofloxacin susceptibilityciprofloxacinisolateproperty;glucose in blood;0
8;2143-6;Cortisol [Mass/volume] in Serum or Plasma;Cortisol;Ser/Plas;MCnc;Cortisol [Mass/volume] in Serum or PlasmaCortisolSer/Plasproperty;Cortisol Massvolume in Serum or PlasmaCortisolSerPlasproperty;['cortisol', 'massvolume', 'in', 'serum', 'or', 'plasmacortisolserplasproperty'];['cortisol', 'massvolume', 'serum', 'plasmacortisolserplasproperty'];[('cortisol', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacortisolserplasproperty', 'NN')];cortisol massvolume serum plasmacortisolserplasproperty;glucose in blood;0
9;2075-0;Chloride [Moles/volume] in Serum or Plasma;Chloride;Ser/Plas;SCnc;Chloride [Moles/volume] in Serum or PlasmaChlorideSer/Plasproperty;Chloride Molesvolume in Serum or PlasmaChlorideSerPlasproperty;['chloride', 'molesvolume', 'in', 'serum', 'or', 'plasmachlorideserplasproperty'];['chloride', 'molesvolume', 'serum', 'plasmachlorideserplasproperty'];[('chloride', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmachlorideserplasproperty', 'NN')];chloride molesvolume serum plasmachlorideserplasproperty;glucose in blood;0
